Planeta            N_e N_p M_d       P_orb[d]   a_p[ua]   R_p[R_T]  M_p[M_T] d[pc]
Kepler-68-c         2   4   T         9.605     0.0900     0.979     1.300  144.166
Kepler-68-d         2   4   VR      632.620     1.4690    13.900   267.000  144.166
Kepler-68-e         2   4   VR     3455.000     4.6000    11.200    86.449  144.166
J19383260+4603591-b 2   3   VTE     406.000     0.9200    13.400   603.877  396.332
HD125612-b          2   3   VR      557.699     1.3490    13.200   945.221   57.620
HD125612-c          2   3   VR        4.154     0.0510     4.070    15.573   57.620
HD125612-d          2   3   VR     2822.726     3.9820    12.700  2281.370   57.620
HD133131A-b         2   3   VR      649.000     1.4400    13.600   451.318   51.473
HD133131A-c         2   3   VR     3568.000     4.4900    14.300   133.488   51.473
HD133131B-b         2   3   VR     5769.000     6.1500    13.300   794.575   51.299
HD142A-d            2   3   VR      108.452     0.4740    10.900    82.635   26.185
HD142-b             2   3   VR      351.433     1.0390    12.700  2256.580   26.185
HD142-c             2   3   VR    10159.642     9.8110    12.400  3464.640   26.185
HR858-b             2   3   T         3.585     0.0488     2.004     3.550   31.964
HR858-c             2   3   T         5.973     0.0687     1.979     3.800   31.964
HR858-d             2   3   T        11.230     0.1046     2.001     7.100   31.964
K2-136-b            2   3   T         7.975     0.0707     1.014     4.300   59.247
K2-136-c            2   3   T        17.307     0.1185     3.000    18.100   59.247
K2-136-d            2   3   T        25.575     0.1538     1.565     3.000   59.247
K2-148-b            2   3   T         4.383     0.0454     1.330     2.330  124.458
K2-148-c            2   3   T         6.922     0.0616     1.730     3.640  124.458
K2-148-d            2   3   T         9.757     0.0774     1.640     3.330  124.458
Kepler-104-b        2   3   T        11.427     0.0940     3.100    19.600  400.785
Kepler-104-c        2   3   T        23.668     0.1530     3.130     7.144  400.785
Kepler-104-d        2   3   T        51.755     0.2570     3.580     5.540  400.785
Kepler-1130-b       2   3   T         5.452     0.0596     0.800     0.437  249.343
Kepler-1130-c       2   3   T         3.266     0.0423     0.792     0.422  249.343
Kepler-1130-d       2   3   T         4.272     0.0506     0.644     0.202  249.343
Kepler-130-b        2   3   T         8.457     0.0790     1.020     1.040  316.663
Kepler-130-c        2   3   T        27.508     0.1780     2.900     8.750  316.663
Kepler-130-d        2   3   T        87.517     0.3770     1.640     3.330  316.663
Kepler-25-b         2   3   T         6.238     0.0695     2.748     8.700  243.249
Kepler-25-c         2   3   T        12.720     0.1117     5.217    15.200  243.249
Kepler-25-d         2   3   VR      122.400     0.4164    10.000    71.900  243.249
Kepler-451-c        2   3   VTE    1460.000 99999.0000    13.500   511.703  396.332
Kepler-451-d        2   3   VTE      43.000 99999.0000    13.500   559.377  396.332
Kepler-454-b        2   3   T        10.573     0.0952     2.370     5.400  230.869
Kepler-454-c        2   3   VR      524.190     1.2870    12.900  1433.400  230.869
Kepler-454-d        2   3   VR     4073.000     5.1000    13.300   734.183  230.869
Kepler-47-b         2   3   T        49.464     0.2877     3.050     2.070 1025.020
Kepler-47-c         2   3   T       303.227     0.9638     4.650     3.170 1025.020
Kepler-47-d         2   3   T       187.366     0.6992     7.040    19.020 1025.020
Kepler-83-b         2   3   T         9.770     0.0729     2.830     2.940  400.409
Kepler-83-c         2   3   T        20.090     0.1179     2.360     2.030  400.409
